Date,BCI,BCIp,BCIg,USRECD
1967-01-06,4.607168188650764,6.5809164913291625,3.475067230228611,0
1967-02-03,4.603168183317418,6.582025138892826,3.475067230228611,0
1967-02-11,4.650143551630823,6.579112313475258,3.475067230228611,0
1967-02-16,4.605170185988092,6.586309576377547,3.475067230228611,0
1967-02-23,4.601162164590552,6.577444024474397,3.475067230228611,0
1967-03-08,4.638604962074329,6.5869988988009265,3.475067230228611,0
1967-03-16,4.602165676967792,6.579528951214775,3.475067230228611,0
1967-03-23,4.604169685654508,6.584791392385716,3.475067230228611,0
1967-03-30,4.604169685654508,6.583685809077966,3.475067230228611,0
1967-04-05,4.609162207257629,6.5869988988009265,3.475067230228611,0
1967-04-13,4.590056548178043,6.552079835376488,3.475067230228611,0
1967-04-20,4.594109238628667,6.562161567911363,3.475067230228611,0
1967-04-27,4.603168183317418,6.582302108843358,3.475067230228611,0
1967-05-10,4.651099117876491,6.582440565056801,3.475067230228611,0
1967-05-18,4.6061696863211745,6.577861357721047,3.475067230228611,0
1967-05-25,4.603168183317418,6.570742896508415,3.475067230228611,0
1967-06-04,4.597138014290827,6.567234859514355,3.475067230228611,0
1967-06-07,4.627909672957581,6.5869988988009265,3.475067230228611,0
1967-06-15,4.619073091157083,6.5869988988009265,3.475067230228611,0
1967-06-22,4.623010104116422,6.5869988988009265,3.475067230228611,0
1967-06-29,4.624972813284271,6.5869988988009265,3.475067230228611,0
1967-07-09,4.6443908991413725,6.5869988988009265,3.475067230228611,0
1967-07-12,4.670021158307708,6.5869988988009265,3.475067230228611,0
1967-07-13,4.635699391022914,6.5869988988009265,3.475067230228611,0
1967-07-20,4.636668853047462,6.5869988988009265,3.475067230228611,0
1967-07-27,4.636668853047462,6.586723226848802,3.475067230228611,0
1967-08-06,4.611152257665639,6.5869988988009265,3.475067230228611,0
1967-08-17,4.638604962074329,6.5869988988009265,3.475067230228611,0
1967-08-24,4.640537329825382,6.5869988988009265,3.475067230228611,0
1967-08-31,4.639571612705423,6.58423875352114,3.475067230228611,0
1967-09-02,4.605170185988092,6.5869988988009265,3.475067230228611,0
1967-09-03,4.604169685654508,6.5852056712012805,3.475067230228611,0
1967-09-11,4.646312129319266,6.570182436916891,3.475067230228611,0
1967-09-14,4.647271362006727,6.5869988988009265,3.475067230228611,0
1967-09-21,4.653007515402251,6.5869988988009265,3.475067230228611,0
1967-09-28,4.653007515402251,6.5869988988009265,3.475067230228611,0
1967-10-08,4.638604962074329,6.5868610723242424,3.475067230228611,0
1967-10-19,4.6491870714048655,6.5773048746794185,3.475067230228611,0
1967-10-26,4.6491870714048655,6.577444024474397,3.475067230228611,0
1967-11-05,4.61015772749913,6.5869988988009265,3.475067230228611,0
1967-11-16,4.645351975620923,6.569621663034258,3.475067230228611,0
1967-11-23,4.651099117876491,6.583132558718074,3.475067230228611,0
1967-11-30,4.664382045619937,6.5869988988009265,3.475067230228611,0
1967-12-10,4.653007515402251,6.586585362369367,3.475067230228611,0
1967-12-14,4.675628649636653,6.5869988988009265,3.475067230228611,0
1967-12-21,4.676560182074764,6.5869988988009265,3.475067230228611,0
1967-12-28,4.669083511731744,6.569481420414296,3.475067230228611,0
1968-01-02,4.653960350157523,6.534224789404319,3.7977338590260183,0
1968-01-08,4.685828089005546,6.540163823302054,3.7819143200811256,0
1968-01-18,4.667205576907544,6.564278568208041,3.475067230228611,0
1968-01-25,4.659658371272161,6.547215734226965,3.475067230228611,0
1968-02-05,4.688591794127164,6.5869988988009265,3.839452312593311,0
1968-02-15,4.646312129319266,6.514416350671813,3.7471483622379123,0
1968-02-22,4.646312129319266,6.514564531749361,3.725693427236653,0
1968-02-29,4.647271362006727,6.518409552753856,3.713572066704308,0
1968-03-10,4.71492104994721,6.5869988988009265,3.817712325956905,0
1968-03-14,4.645351975620923,6.513675115740536,3.6888794541139367,0
1968-03-21,4.645351975620923,6.513378467859393,3.683866912290392,0
1968-03-28,4.651099117876491,6.52649485957079,3.683866912290392,0
1968-04-01,4.665324108807838,6.560747740445541,3.475067230228611,0
1968-04-04,4.662495252607361,6.5543606631649745,3.708682081410116,0
1968-04-07,4.693181063310805,6.556920391525088,3.8437441646748516,0
1968-04-18,4.686750172980514,6.5869988988009265,3.7841896339182615,0
1968-04-25,4.684905154006945,6.5832709000062515,3.8155121050473024,0
1968-05-09,4.690430029938915,6.550365794105536,3.735285826928092,0
1968-05-12,4.73707525686803,6.5869988988009265,3.871201010907891,0
1968-05-16,4.689511334421843,6.584653261299096,3.8437441646748516,0
1968-05-23,4.6839813664123815,6.573540492402139,3.83729945923221,0
1968-05-30,4.690430029938915,6.5869988988009265,3.8308129500026027,0
1968-06-06,4.697749367281185,6.5869988988009265,3.832979798087693,0
1968-06-13,4.7059200890882344,6.5869988988009265,3.8437441646748516,0
1968-06-20,4.702296896718814,6.578556526327422,3.856510295497887,0
1968-06-27,4.695924549256556,6.564983240212396,3.856510295497887,0
1968-07-03,4.640537329825382,6.502040139618764,3.6938669956249757,0
1968-07-11,4.721173861744398,6.586171654854675,3.8522730010223722,0
1968-07-18,4.693181063310805,6.558197802812269,3.8133070324889884,0
1968-07-25,4.687671407499835,6.544343407104972,3.7954891891721947,0
1968-08-02,4.653007515402251,6.531023389696845,3.775057150354989,0
1968-08-08,4.685828089005546,6.539874931201244,3.763522997109702,0
1968-08-15,4.6839813664123815,6.536691597591305,3.7471483622379123,0
1968-08-22,4.683056724645162,6.53407949336338,3.7376696182833684,0
1968-08-29,4.685828089005546,6.541174288923939,3.735285826928092,0
