date;STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED United States
2017 FEB;4.06
2017 MAR;4.04
2017 APR;4.04
2017 MAY;4.04
2017 JUN;4.03
2017 JUL;4.03
2017 AUG;4.04
2017 SEP;4.02
2017 OCT;4.01
2017 NOV;4.02
2017 DEC;4.01
2018 JAN;4.01
2018 FEB;4.01
2018 MAR;4.00
2018 APR;4.00
2018 MAY;3.08
2018 JUN;4.00
2018 JUL;3.08
2018 AUG;3.08
2018 SEP;3.07
2018 OCT;3.08
2018 NOV;3.07
2018 DEC;3.09
2019 JAN;4.00
2019 FEB;3.08
2019 MAR;3.08
2019 APR;3.06
2019 MAY;3.06
2019 JUN;3.07
2019 JUL;3.07
2019 AUG;3.07
2019 SEP;3.05
2019 OCT;3.06
2019 NOV;3.05
2019 DEC;3.05
2020 JAN;3.06
2020 FEB;3.05
2020 MAR;4.04
2020 APR;14.07
2020 MAY;13.03
2020 JUN;11.01
2020 JUL;10.02
2020 AUG;8.04
2020 SEP;7.09
2020 OCT;6.09
2020 NOV;6.07
