,Date,BCI,BCIp,BCIg,USRECD,IE_SP_Comp,IE_SP_Dividend,IE_SP_Earnings,IE_Consumer_CPI,IE_Long_Interest,IE_Real_Price,IE_Real_Dividend,IE_Return_Price,IE_Real_Earnings,IE_Scaled_Earnings,IE_Monthly_Returns,IE_Real_Returns
198,1970-11-26,4.476199804691132,5.8221579273915225,3.2809112157876537,1,4.435211888177536,1.1537315878891892,1.6639260977181702,3.673765816303888,1.9919755158985601,6.370927852677146,3.09058780456667,11.392335681580022,3.600321427132145,8.621681126486328,0.03922071315328133,2.3580197998821464
199,1970-12-03,4.484131857611035,6.5869988988009265,3.303216973301952,0,4.434144588935989,1.1505720275988207,1.6505798557652755,3.6788291182604347,1.922787731634459,6.364802390630741,3.080073421987742,11.389321432638022,3.580458705159516,8.605117984447723,0.03922071315328133,2.3933394562625097
200,1970-12-10,4.489759334476764,6.5869988988009265,3.3322045101752042,0,4.434144588935989,1.1505720275988207,1.6505798557652755,3.6788291182604347,1.922787731634459,6.364802390630741,3.080073421987742,11.389321432638022,3.580458705159516,8.605117984447723,0.03922071315328133,2.3933394562625097
201,1970-12-17,4.492001487882454,6.5869988988009265,3.370738174177447,0,4.434144588935989,1.1505720275988207,1.6505798557652755,3.6788291182604347,1.922787731634459,6.364802390630741,3.080073421987742,11.389321432638022,3.580458705159516,8.605117984447723,0.03922071315328133,2.3933394562625097
202,1970-12-24,4.49647076906475,6.5869988988009265,3.4210000089583352,0,4.434144588935989,1.1505720275988207,1.6505798557652755,3.6788291182604347,1.922787731634459,6.364802390630741,3.080073421987742,11.389321432638022,3.580458705159516,8.605117984447723,0.03922071315328133,2.3933394562625097
203,1970-12-31,4.5031374604229395,6.5869988988009265,3.4657359027997265,0,4.500365071621965,1.144222799920162,1.6351056591826783,3.6838669122903918,1.8547342683894434,6.425986713482255,3.0699116717282426,11.453405794969632,3.5607619513334936,8.588145475333578,0.01980262729617973,2.4265710727750367
204,1971-01-07,4.51085950651685,6.5869988988009265,3.5115454388310208,0,4.500365071621965,1.144222799920162,1.6351056591826783,3.6838669122903918,1.8547342683894434,6.425986713482255,3.0699116717282426,11.453405794969632,3.5607619513334936,8.588145475333578,0.01980262729617973,2.4265710727750367
205,1971-01-14,4.519612297626445,6.5869988988009265,3.563882963939251,0,4.500365071621965,1.144222799920162,1.6351056591826783,3.6838669122903918,1.8547342683894434,6.425986713482255,3.0699116717282426,11.453405794969632,3.5607619513334936,8.588145475333578,0.01980262729617973,2.4265710727750367
206,1971-01-21,4.525044141508807,6.5869988988009265,3.6136169696133895,0,4.500365071621965,1.144222799920162,1.6351056591826783,3.6838669122903918,1.8547342683894434,6.425986713482255,3.0699116717282426,11.453405794969632,3.5607619513334936,8.588145475333578,0.01980262729617973,2.4265710727750367
207,1971-01-28,4.535820107853298,6.5869988988009265,3.6686767467964168,0,4.500365071621965,1.144222799920162,1.6351056591826783,3.6838669122903918,1.8547342683894434,6.425986713482255,3.0699116717282426,11.453405794969632,3.5607619513334936,8.588145475333578,0.01980262729617973,2.4265710727750367
