,Date,BCI,BCIp,BCIg,USRECD
181,1970-07-30,4.4942386252808095,5.887214525734183,2.8094026953624978,1
182,1970-08-06,4.490881039585964,5.8766147054290405,2.8848007128467095,1
183,1970-08-13,4.487512142519859,5.862778539479937,2.928523523860541,1
184,1970-08-20,4.485259889315534,5.855071922202427,2.954910279033736,1
185,1970-08-27,4.4953553199808844,5.89467827842029,2.9856819377004897,1
186,1970-09-03,4.497584975308154,5.899623343442402,3.0301337002713233,1
187,1970-09-10,4.497584975308154,5.8998973535824915,3.077312260546414,1
188,1970-09-17,4.493120682179469,5.886937017754048,3.122364924487357,1
189,1970-09-24,4.48863636973214,5.869861725348733,3.1398326175277482,1
190,1970-10-01,4.493120682179469,5.88638177065483,3.1570004211501135,1
191,1970-10-08,4.497584975308154,5.901539839579995,3.186352633162641,1
192,1970-10-15,4.489759334476764,5.872681011118015,3.2027464429383175,1
193,1970-10-22,4.481871969643598,5.845282036929901,3.218875824868201,1
194,1970-10-29,4.484131857611035,5.853064177371955,3.226843994517378,1
195,1970-11-05,4.485259889315534,5.855644823965447,3.230804395733475,1
196,1970-11-12,4.486386649998124,5.860216260498028,3.250374491927572,1
197,1970-11-19,4.480740107609915,5.8377304471659395,3.2733640101522705,1
198,1970-11-26,4.476199804691132,5.8221579273915225,3.2809112157876537,1
199,1970-12-03,4.484131857611035,6.5869988988009265,3.303216973301952,0
200,1970-12-10,4.489759334476764,6.5869988988009265,3.3322045101752042,0
201,1970-12-17,4.492001487882454,6.5869988988009265,3.370738174177447,0
202,1970-12-24,4.49647076906475,6.5869988988009265,3.4210000089583352,0
203,1970-12-31,4.5031374604229395,6.5869988988009265,3.4657359027997265,0
204,1971-01-07,4.51085950651685,6.5869988988009265,3.5115454388310208,0
205,1971-01-14,4.519612297626445,6.5869988988009265,3.563882963939251,0
206,1971-01-21,4.525044141508807,6.5869988988009265,3.6136169696133895,0
207,1971-01-28,4.535820107853298,6.5869988988009265,3.6686767467964168,0
208,1971-02-04,4.543294782270004,6.5869988988009265,3.7184382563554808,0
209,1971-02-11,4.548599834499697,6.5869988988009265,3.7612001156935624,0
210,1971-02-18,4.551769409260976,6.5869988988009265,3.7999735016195233,0
211,1971-02-25,4.551769409260976,6.5869988988009265,3.8242840911201395,0
212,1971-03-04,4.551769409260976,6.5869988988009265,3.839452312593311,0
213,1971-03-11,4.5591262474866845,6.5869988988009265,3.856510295497887,0
214,1971-03-18,4.5612182984589085,6.5869988988009265,3.871201010907891,0
215,1971-03-25,4.5612182984589085,6.5869988988009265,3.885679030088544,0
216,1971-04-01,4.558078578454241,6.57813948315741,3.893859034800475,0
217,1971-04-08,4.558078578454241,6.577861357721047,3.8958936234982624,0
218,1971-04-15,4.5612182984589085,6.5868610723242424,3.8979240810486444,0
219,1971-04-22,4.562262684976814,6.5869988988009265,3.899950424193877,0
220,1971-04-29,4.570578741218473,6.5869988988009265,3.914021008090819,0
221,1971-05-06,4.576770711466393,6.5869988988009265,3.933784497209659,0
222,1971-05-13,4.576770711466393,6.5869988988009265,3.9454577815143836,0
223,1971-05-20,4.574710978503383,6.5807778239227135,3.9531649487593215,0
224,1971-05-27,4.572646994282532,6.576330283582437,3.9473901492654373,0
225,1971-06-03,4.572646994282532,6.57702651698799,3.9357395320454622,0
226,1971-06-10,4.575741375297279,6.5849295043947755,3.9259259105971376,0
227,1971-06-17,4.575741375297279,6.583132558718074,3.919991175077323,0
228,1971-06-24,4.570578741218473,6.571862874225933,3.9080149840306073,0
229,1971-07-01,4.5685062016165,6.56709428173947,3.8958936234982624,0
230,1971-07-08,4.571613402459248,6.573261084744552,3.883623530906448,0
231,1971-07-15,4.574710978503383,6.5809164913291625,3.8753590210565547,0
232,1971-07-22,4.572646994282532,6.576748081791982,3.8691155044168695,0
233,1971-07-29,4.577798989191959,6.5869988988009265,3.871201010907891,0
234,1971-08-05,4.571613402459248,6.573540492402139,3.8649313978942956,0
235,1971-08-12,4.5685062016165,6.56582819167796,3.8522730010223722,0
236,1971-08-19,4.576770711466393,6.58423875352114,3.8480176754522337,0
237,1971-08-26,4.584967478670572,6.5869988988009265,3.850147601710059,0
238,1971-09-02,4.589040804058207,6.5869988988009265,3.860729711040596,0
239,1971-09-09,4.593097604753822,6.5869988988009265,3.8794998137225862,0
240,1971-09-16,4.591071261608589,6.582163633457136,3.8877303128591016,0
241,1971-09-23,4.5880240271531205,6.574796861660721,3.883623530906448,0
242,1971-09-30,4.579852378003801,6.557346376622051,3.8649313978942956,0
243,1971-10-07,4.580877493419047,6.558623244214133,3.8437441646748516,0
244,1971-10-14,4.582924577040772,6.563291192431372,3.8264651170664994,0
