,0
30/09/04 00:00,3.8
31/12/04 00:00,4.2
31/03/05 00:00,4.5
30/06/05 00:00,2
30/09/05 00:00,3.2
31/12/05 00:00,2.3
31/03/06 00:00,5.5
30/06/06 00:00,1
30/09/06 00:00,0.6
31/12/06 00:00,3.4
31/03/07 00:00,1.2
30/06/07 00:00,2.6
30/09/07 00:00,2.4
31/12/07 00:00,2.5
31/03/08 00:00,-1.6
30/06/08 00:00,2.3
30/09/08 00:00,-2.1
31/12/08 00:00,-8.5
31/03/09 00:00,-4.6
30/06/09 00:00,-0.7
30/09/09 00:00,1.5
31/12/09 00:00,4.3
31/03/10 00:00,2
30/06/10 00:00,3.9
30/09/10 00:00,3.1
31/12/10 00:00,2.1
31/03/11 00:00,-1
30/06/11 00:00,2.7
30/09/11 00:00,-0.2
31/12/11 00:00,4.6
31/03/12 00:00,3.3
30/06/12 00:00,1.8
30/09/12 00:00,0.7
31/12/12 00:00,0.4
31/03/13 00:00,3.5
30/06/13 00:00,0.6
30/09/13 00:00,3.2
31/12/13 00:00,2.9
31/03/14 00:00,-1.4
30/06/14 00:00,5.2
30/09/14 00:00,4.7
31/12/14 00:00,1.8
31/03/15 00:00,3.3
30/06/15 00:00,2.3
30/09/15 00:00,1.3
31/12/15 00:00,0.6
31/03/16 00:00,2.4
30/06/16 00:00,1.2
30/09/16 00:00,2.4
31/12/16 00:00,2
31/03/17 00:00,1.9
30/06/17 00:00,2.3
30/09/17 00:00,2.9
31/12/17 00:00,3.8
31/03/18 00:00,3.1
30/06/18 00:00,3.4
30/09/18 00:00,1.9
31/12/18 00:00,0.9
31/03/19 00:00,2.4
30/06/19 00:00,3.2
30/09/19 00:00,2.8
31/12/19 00:00,1.9
31/03/20 00:00,-5.1
30/06/20 00:00,-31.2
30/09/20 00:00,33.8
31/12/20 00:00,4.5
31/03/21 00:00,6.3
30/06/21 00:00,6.7
