date;STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED United States
1993;6.09
1994;6.01
1995;5.06
1996;5.04
1997;4.09
1998;4.05
1999;4.02
2000;4.00
2001;4.07
2002;5.08
2003;6.00
2004;5.05
2005;5.01
2006;4.06
2007;4.06
2008;5.08
2009;9.03
2010;9.06
2011;8.09
2012;8.01
2013;7.04
2014;6.02
2015;5.03
2016;4.09
2017;4.03
2018;3.09
2019;3.07
